customer_id,name,email,country
1,Shannon Collins,jfarley@le.biz,Armenia
2,Cody Day,drakenicholas@lewis.info,Timor-Leste
3,John Erickson,uwest@bartlett-garza.info,Azerbaijan
4,Michael Martin,davidrobinson@chapman.com,Lesotho
5,Kevin Maldonado,znguyen@watkins.com,Lebanon
6,Allen Conway,devon93@johnston.com,Myanmar
7,Frank Turner,ubaker@yahoo.com,Kiribati
8,Laura Gonzalez,susancompton@hoover.com,Denmark
9,Vincent Washington,josephmiller@velazquez.org,Libyan Arab Jamahiriya
10,Brandon Lewis,amy83@russell.org,Madagascar
11,William Phillips,michaelchambers@adams-young.info,Peru
12,Christopher Miller,john69@gmail.com,Dominican Republic
13,Benjamin Ramirez,mmaxwell@avila.com,Puerto Rico
14,Susan Pope,cnelson@yahoo.com,Poland
15,Donald Fuentes,pbrown@gmail.com,France
16,Alexis Allen,daisy12@oliver-richardson.biz,Nicaragua
17,Leslie Clark,travis44@woodard-washington.info,Sao Tome and Principe
18,Rebecca Moon,grantdarren@hotmail.com,New Zealand
19,Amanda Ryan,ajohnson@gmail.com,Australia
20,Terry Castro,ecarpenter@alvarez.com,Bosnia and Herzegovina
21,Thomas Robinson,yprice@gmail.com,Belize
22,Matthew Love,vmcdonald@bates-thornton.com,Korea
23,Daniel Nguyen,carterjennifer@gmail.com,Bahrain
24,Jesse Mccoy,ibass@smith-grant.com,Myanmar
25,Jordan Powell,rlewis@taylor.com,Hungary
26,Adam Cole,pwillis@williams.com,Ghana
27,Mr. Alexander Fox,alexstanton@yahoo.com,Brazil
28,Catherine Friedman,ywagner@gibbs.com,Luxembourg
29,Dakota Roman,johnsonlynn@hotmail.com,Gibraltar
30,Frank Weiss,amberhowell@hotmail.com,Tuvalu
31,Brian Richardson,xrogers@hotmail.com,Sierra Leone
32,Joseph Vega,clester@hotmail.com,Iceland
33,Kyle Smith,bmoore@yahoo.com,Niue
34,Paula Thomas,jenna30@ayala.com,Belarus
35,Mary Day,sonya89@martinez.org,Kiribati
36,Leah Mckinney,karen66@gmail.com,Eritrea
37,Darren Ellis,chandlerrobert@gmail.com,Bahamas
38,Emily Guzman,lthompson@keller.org,Zambia
39,Jeffrey Garcia,ubaird@hotmail.com,Nepal
40,Lynn Miller,spencerdavid@gmail.com,Northern Mariana Islands
41,Chelsea Morris,cantrellcynthia@hotmail.com,Cuba
42,Nicole Grimes,katherine75@yahoo.com,Qatar
43,John Moore,jennifersims@aguilar-anderson.com,Nauru
44,Carlos Guerra,julieroach@yahoo.com,Ghana
45,Danielle Livingston,jacoblee@li.com,Cameroon
46,Erin Smith,jjohnson@yahoo.com,Angola
47,Matthew Walter,sandraosborne@gmail.com,Serbia
48,Julie Alexander,william81@gmail.com,Congo
49,Donna Ramirez,taylorrhonda@taylor.com,Panama
